"","cond_A_cell1","cond_A_cell2","cond_A_cell3","cond_A_cell4","cond_A_cell5","cond_A_cell6","cond_A_cell7","cond_A_cell8","cond_A_cell9","cond_A_cell10","cond_A_cell11","cond_A_cell12","cond_A_cell13","cond_A_cell14","cond_A_cell15","cond_A_cell16","cond_A_cell17","cond_A_cell18","cond_A_cell19","cond_A_cell20","cond_A_cell21","cond_A_cell22","cond_A_cell23","cond_A_cell24","cond_A_cell25","cond_A_cell26","cond_A_cell27","cond_A_cell28","cond_A_cell29","cond_A_cell30","cond_A_cell31","cond_A_cell32","cond_A_cell33","cond_A_cell34","cond_A_cell35","cond_A_cell36","cond_A_cell37","cond_A_cell38","cond_A_cell39","cond_A_cell40","cond_A_cell41","cond_A_cell42","cond_A_cell43","cond_A_cell44","cond_A_cell45","cond_A_cell46","cond_B_cell1","cond_B_cell2","cond_B_cell3","cond_B_cell4","cond_B_cell5","cond_B_cell6","cond_B_cell7","cond_B_cell8","cond_B_cell9","cond_B_cell10","cond_B_cell11","cond_B_cell12","cond_B_cell13","cond_B_cell14","cond_B_cell15","cond_B_cell16","cond_B_cell17","cond_B_cell18","cond_B_cell19","cond_B_cell20","cond_B_cell21","cond_B_cell22","cond_B_cell23","cond_B_cell24","cond_B_cell25","cond_B_cell26","cond_B_cell27","cond_B_cell28","cond_B_cell29","cond_B_cell30","cond_B_cell31","cond_B_cell32","cond_B_cell33","cond_B_cell34","cond_B_cell35","cond_B_cell36","cond_B_cell37","cond_B_cell38","cond_B_cell39","cond_B_cell40","cond_B_cell41","cond_B_cell42","cond_B_cell43","cond_B_cell44","cond_B_cell45","cond_B_cell46","cond_B_cell47","cond_B_cell48","cond_B_cell49","cond_B_cell50","cond_B_cell51","cond_C_cell1","cond_C_cell2","cond_C_cell3","cond_C_cell4","cond_C_cell5","cond_C_cell6","cond_C_cell7","cond_C_cell8","cond_C_cell9","cond_C_cell10","cond_C_cell11","cond_C_cell12","cond_C_cell13","cond_C_cell14","cond_C_cell15","cond_C_cell16","cond_C_cell17","cond_C_cell18","cond_C_cell19","cond_C_cell20","cond_C_cell21","cond_C_cell22","cond_C_cell23","cond_C_cell24","cond_C_cell25","cond_C_cell26","cond_C_cell27","cond_C_cell28","cond_C_cell29","cond_C_cell30","cond_C_cell31","cond_C_cell32","cond_C_cell33","cond_D_cell1","cond_D_cell2","cond_D_cell3","cond_D_cell4","cond_D_cell5","cond_D_cell6","cond_D_cell7","cond_D_cell8","cond_D_cell9","cond_D_cell10","cond_D_cell11","cond_D_cell12","cond_D_cell13","cond_D_cell14","cond_D_cell15","cond_D_cell16","cond_D_cell17","cond_D_cell18","cond_D_cell19","cond_D_cell20","cond_D_cell21","cond_D_cell22","cond_D_cell23","cond_D_cell24","cond_D_cell25","cond_D_cell26","cond_D_cell27","cond_D_cell28","cond_D_cell29","cond_D_cell30","cond_D_cell31","cond_D_cell32","cond_D_cell33","cond_D_cell34","cond_D_cell35","cond_D_cell36","cond_D_cell37","cond_D_cell38","cond_D_cell39","cond_D_cell40","cond_D_cell41","cond_D_cell42","cond_D_cell43","cond_D_cell44","cond_D_cell45","cond_D_cell46","cond_D_cell47","cond_D_cell48","cond_D_cell49","cond_D_cell50","cond_D_cell51","cond_D_cell52","cond_D_cell53","cond_D_cell54","cond_D_cell55","cond_D_cell56","cond_D_cell57","cond_D_cell58","cond_D_cell59","cond_D_cell60","cond_D_cell61","cond_D_cell62","cond_D_cell63","cond_D_cell64","cond_D_cell65","cond_D_cell66","cond_D_cell67","cond_D_cell68","cond_D_cell69","cond_D_cell70","cond_D_cell71","cond_D_cell72","cond_D_cell73","cond_D_cell74","cond_D_cell75","cond_D_cell76","cond_D_cell77","cond_D_cell78","cond_D_cell79","cond_D_cell80","cond_D_cell81","cond_D_cell82","cond_D_cell83","cond_D_cell84","cond_D_cell85","cond_D_cell86","cond_E_cell1","cond_E_cell2","cond_E_cell3","cond_E_cell4","cond_E_cell5","cond_E_cell6","cond_E_cell7","cond_E_cell8","cond_E_cell9","cond_E_cell10","cond_E_cell11","cond_E_cell12","cond_E_cell13","cond_E_cell14","cond_E_cell15","cond_E_cell16","cond_E_cell17","cond_E_cell18","cond_E_cell19","cond_E_cell20","cond_E_cell21","cond_E_cell22","cond_E_cell23","cond_E_cell24","cond_E_cell25","cond_E_cell26","cond_E_cell27","cond_E_cell28","cond_E_cell29","cond_E_cell30","cond_E_cell31","cond_E_cell32","cond_E_cell33","cond_E_cell34","cond_E_cell35","cond_E_cell36","cond_E_cell37","cond_E_cell38","cond_E_cell39","cond_E_cell40","cond_E_cell41","cond_E_cell42","cond_E_cell43","cond_E_cell44","cond_E_cell45","cond_E_cell46","cond_E_cell47","cond_E_cell48","cond_E_cell49","cond_E_cell50","cond_E_cell51","cond_E_cell52","cond_E_cell53","cond_E_cell54","cond_E_cell55","cond_E_cell56","cond_E_cell57","cond_E_cell58","cond_E_cell59","cond_E_cell60","cond_E_cell61","cond_E_cell62","cond_E_cell63","cond_E_cell64","cond_E_cell65","cond_E_cell66","cond_E_cell67","cond_E_cell68","cond_E_cell69","cond_F_cell1","cond_F_cell2","cond_F_cell3","cond_F_cell4","cond_F_cell5","cond_F_cell6","cond_F_cell7","cond_F_cell8","cond_F_cell9","cond_F_cell10","cond_F_cell11","cond_F_cell12","cond_F_cell13","cond_F_cell14","cond_F_cell15","cond_F_cell16","cond_F_cell17","cond_F_cell18","cond_F_cell19","cond_F_cell20","cond_F_cell21","cond_F_cell22","cond_F_cell23","cond_F_cell24","cond_F_cell25","cond_F_cell26","cond_F_cell27","cond_F_cell28","cond_F_cell29","cond_F_cell30","cond_F_cell31","cond_F_cell32","cond_F_cell33","cond_F_cell34","cond_F_cell35","cond_F_cell36","cond_F_cell37","cond_F_cell38","cond_F_cell39","cond_F_cell40","cond_F_cell41","cond_F_cell42","cond_F_cell43","cond_F_cell44","cond_F_cell45","cond_F_cell46","cond_F_cell47","cond_F_cell48","cond_F_cell49","cond_F_cell50","cond_F_cell51","cond_F_cell52","cond_F_cell53","cond_F_cell54","cond_F_cell55","cond_F_cell56","cond_F_cell57","cond_F_cell58","cond_F_cell59","cond_F_cell60","cond_F_cell61","cond_F_cell62","cond_F_cell63","cond_F_cell64","cond_F_cell65","cond_F_cell66","cond_F_cell67","cond_F_cell68","cond_F_cell69","cond_F_cell70","cond_F_cell71","cond_F_cell72","cond_F_cell73","cond_F_cell74","cond_F_cell75","cond_F_cell76","cond_F_cell77","cond_F_cell78","cond_F_cell79","cond_F_cell80","cond_F_cell81","cond_F_cell82","cond_F_cell83","cond_F_cell84","cond_F_cell85","cond_F_cell86","cond_F_cell87","cond_F_cell88","cond_F_cell89","cond_F_cell90","cond_F_cell91","cond_F_cell92","cond_F_cell93","cond_F_cell94"
"gene_756",0,0,1,217,6,0,0,115,0,2,191,0,450,257,0,257,1,0,304,0,0,353,0,0,0,0,0,0,0,0,0,0,0,42,0,94,80,0,0,5409,0,12,0,0,250,4660,1025,0,0,0,0,0,0,0,0,3221,38,194,10,0,0,27,0,0,0,0,0,0,0,0,7529,0,3,0,0,0,783,121,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,1784,382,0,0,0,19,0,0,0,0,0,0,1939,0,0,14,11,0,0,939,199,164,0,0,0,238,14,0,432,0,51,0,173,0,1490,28,0,5,0,0,0,61,1,0,7498,0,0,3,85,44,0,0,0,0,0,0,3731,1,0,0,5,0,0,0,2358,0,0,0,0,10,0,896,0,1,7,0,12,0,1169,14,2,38,0,77,4168,176,2308,0,19,0,0,0,51,9,334,0,0,0,43,75,0,0,0,3,0,1028,0,1,19,2,0,28,8,6665,0,0,3,1,0,1770,190,1918,0,0,0,0,6189,0,0,0,2727,0,0,764,623,0,4,0,24,0,0,0,0,0,0,9,0,0,0,0,491,0,0,0,3280,0,29,0,0,0,0,14,20,0,0,1,0,0,0,14,0,999,0,0,0,0,0,0,0,0,618,1,1500,2,0,80,0,2,1,0,0,0,60,0,0,0,0,29,0,377,0,0,0,0,0,0,0,0,0,0,0,0,654,0,0,0,0,0,1033,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,8,0,0,0,1052,0,0,0,0,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,178,1934,0,142,0,6,0,0,0,0,0,0,437,0,0,0,0
"gene_757",373,190,9,347,340,103,163,177,132,120,23,46,101,260,601,65,1974,553,747,671,36,9,1320,73,371,543,230,568,40,26,708,372,177,67,148,291,348,888,597,61,9,114,29,85,495,1010,9,61,0,1,297,0,0,0,103,1,0,9,50,2,90,0,1,0,0,71,2,2,0,181,557,128,46,117,192,367,19,365,0,18,47,0,1,0,1,0,93,1,1,0,4,0,1312,71,1,1,10,1,3,1025,27,897,408,739,276,72,108,307,89,37,52,54,82,2212,17,5,274,428,79,1983,6,1676,18,109,4,1491,11,618,368,319,332,1307,680,129,299,601,732,299,251,1120,1492,1594,1684,534,2090,811,64,46,98,290,1794,338,476,2480,3018,155,2455,7534,637,731,761,269,1433,2648,29,2905,196,1651,721,430,1558,1508,1089,2490,202,787,643,18,1763,272,1143,1032,19,72,876,59,135,890,509,501,107,502,733,358,800,1090,352,186,328,403,634,3431,179,583,685,863,481,1130,2470,1706,531,412,318,32,43,3148,170,95,1,12,23,669,193,494,71,5,255,132,1002,554,156,156,434,1772,362,169,2135,864,611,302,90,250,106,302,14,1573,246,82,206,818,285,316,154,741,663,51,1570,774,680,1719,722,226,22,42,765,904,1014,1217,250,514,506,60,146,283,167,387,1365,16,0,213,3872,30,15,122,796,454,19,2582,2,458,1199,5,27,336,1050,252,8,68,2355,905,6093,530,6,144,50,1912,593,988,6,7,358,106,409,540,91,1522,550,0,553,1373,389,182,299,76,467,929,16,457,342,156,4629,63,233,3167,27,42,154,43,1875,501,4417,4,5,353,527,87,178,128,997,23,798,895,166,385,90,337,21,1819,567,154,1410,5,133,31,15,253,96,87,441,1143,4121,1480,260,302,53,748,5,782,627
"gene_758",2106,524,108,18671,391,189,913,114,562,1809,599,1499,911,123,1104,306,5536,665,10517,98,14248,3004,3510,1082,5093,796,1524,3890,8861,1119,921,58,410,6107,4543,1262,182,34,4931,24,1074,1014,830,16395,2410,790,0,1854,12,2,682,5074,42,70,3455,0,0,10762,4021,2,586,5,0,28928,1,812,14727,5,1,2,14,32,238,17,6964,70,0,0,53,82,130,1642,369,237,24,1372,43,3404,7014,689,0,4613,0,571,5003,0,0,581,2970,428,10,7,1,923,93,659,579,9,282,61,93,2459,0,130,148,10,103,11,28,128,1611,40,0,279,376,54,240,0,86,90,102,650,270,118,122,19,148,7,36,9,44,247,279,463,165,83,35,23,27,245,707,109,885,36,230,208,563,11,241,710,137,289,149,480,428,95,299,156,129,86,83,53,25,1046,756,562,29,30,168,144,19,53,47,9,74,99,729,60,94,72,14,0,232,115,50,15,35,277,1,324,257,481,692,32,6,20,45,30,617,391,332,218,175,305,215,314,305,1372,181,372,69,599,113,310,90,100,278,20,155,3,963,10,25,244,44,170,4,60,34,0,784,68,7,3055,1286,86,102,4413,379,140,159,268,107,48,1074,570,799,43,851,15,165,110,207,348,153,680,871,234,81,206,0,2,761,28,883,48,139,26,42,2725,5,592,1138,356,3,56,1150,67,0,39,34,585,1207,29,1075,69,1029,25,84,1528,100,728,14,78,48,463,814,1,288,397,78,224,7,2,274,71,68,31,1040,968,150,2,2841,14,64,1345,174,357,55,343,6,0,3,0,1,76,381,144,7,180,927,168,603,844,12,247,107,474,3,907,13,472,174,221,19,25,99,188,158,30,0,721,4,53,33,0,167,0,218,249,41,2,9,2403,124,589,4,794,0
"gene_759",46,0,0,0,328,0,39,0,1728,0,125,11194,0,0,609,1,1741,0,0,0,0,0,125,3247,142,0,0,0,0,0,93,0,0,0,341,0,1,0,0,0,0,0,8412,68,0,0,0,0,701,0,0,41,0,0,0,0,0,0,0,39,940,0,0,0,0,0,235,11,3,0,0,0,1245,1078,0,0,0,50,0,0,0,0,0,0,0,0,0,0,7001,0,0,0,0,0,0,0,0,125,0,53,0,0,55,0,0,2045,1679,279,9,0,18,36,4177,8,6272,0,0,2707,0,1,0,0,629,0,0,0,0,333,79,0,0,5,0,17,0,0,0,0,0,0,5,30,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,33,0,0,0,5,0,79,0,0,0,0,0,0,0,0,1,0,210,3,15,0,0,904,0,0,0,0,0,0,0,0,0,37,0,0,68,0,0,0,0,0,0,40,0,0,0,69,0,6,0,0,0,68,0,10,2871,136,0,62,0,0,781,0,0,9,350,0,0,0,96,0,27,0,327,0,141,0,6490,0,14,0,7095,350,0,322,169,0,0,0,0,0,0,0,0,0,1045,0,0,0,82,0,0,0,483,23,0,0,1163,227,0,31,0,0,560,2,2,1,26,0,0,16,448,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4738,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,291,5312,0,0,0,0,66,6,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,47,0,0,0,212,0,0,12,0,2,290,0,40,63,1,488,0,0,0,0,0,951,0,0,37,0,0,0,0,0,0,18,11,485,187,0,0,0,0,0,0
"gene_760",975,1162,0,485,610,376,264,4,3121,3763,10,667,51,26,3475,1,3942,130,2362,344,1104,2391,283,1077,80,3171,28,486,40,2,64,2,86,49,20,357,3605,2282,1342,2782,7,71,839,75,418,11,432,2,621,81,6,2883,704,301,352,60,708,6256,212,21,1656,2095,282,16684,20,428,19028,41359,3293,44,1661,4651,3315,4510,262,809,1012,1253,1896,1145,1168,1327,1440,871,6237,675,4902,4340,10691,0,1328,1355,1260,692,5384,4066,5866,4081,352,479,167,508,167,2326,104,3776,6153,614,1042,4,3240,1587,1941,479,2320,12991,318,20175,5109,338,1947,1234,6293,285,3188,1503,5103,4710,899,1593,4918,3596,2469,7455,3371,1778,3820,8592,8674,3227,1440,808,6442,1246,1537,9088,1551,1026,4540,3787,1232,4770,493,10920,919,2948,8417,9347,549,2987,2704,4213,1868,1523,1683,3824,1796,7527,7021,5408,4038,2173,1133,4071,9244,10548,5830,4474,5188,607,2631,2732,5202,1777,5426,508,11524,2774,4128,2522,4802,2198,1714,4408,590,11692,391,8998,790,2583,1781,7752,715,391,7861,3388,7437,4828,803,6474,1044,2146,3081,8366,1262,6872,18216,19646,13851,9488,6635,2729,5308,5385,26485,3168,4593,2613,19719,8188,7495,5896,923,7982,5348,8598,19645,2952,8620,7153,792,2412,13938,3515,6737,9153,8356,21276,8970,16776,4228,6091,6158,1154,3764,13457,4641,5474,11600,7654,5385,5595,823,12802,6543,1260,1940,3978,13642,7162,11039,14466,1377,4203,6409,5171,19714,702,1151,1556,5082,21703,2628,6734,5166,14027,5772,22236,302,5167,19886,24581,25561,3928,11125,2190,10179,5908,732,789,1732,2660,4124,6541,1027,4796,19933,37484,993,1666,291,8926,29952,445,5973,7432,6393,12363,673,3195,4838,956,117,2296,22844,4749,968,1011,1377,4348,3786,1994,43616,184,2644,3943,3044,5310,907,9654,545,2365,1925,12853,488,1181,2639,1038,2961,3452,38,29984,9292,4453,7324,7342,296,28774,666,10303,16705,4630,7119,1682,958,1800,1983,8465,4657,4807,7594,450,150,19107,2186,1916,1639,847,3004
"gene_761",0,0,0,1,30,76,0,1,0,12,0,1,0,0,0,0,0,0,0,0,0,0,2,1371,1,1807,667,96,1,6,0,0,6,0,0,0,0,0,0,22,0,0,2331,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,20,1,0,0,29,1391,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1955,6,3,0,1,329,11,0,0,0,0,0,0,564,3156,0,0,0,0,0,0,0,909,0,247,2413,0,342,0,3,464,3700,0,751,333,0,0,1483,365,1262,25,42,0,1,0,0,2263,0,0,174,0,0,0,0,27,261,0,0,0,0,5120,0,77,287,1,0,0,0,0,45,0,2490,0,0,1083,0,123,0,0,0,0,1,2,0,0,0,0,0,0,0,0,3765,0,0,0,0,0,0,9759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,62,0,0,0,0,0,1351,0,0,0,0,0,0,141,0,0,0,9,0,0,0,0,0,0,0,0,17,0,0,0,2,0,2165,0,0,0,0,0,0,0,0,1,0,474,360,0,0,0,193,12,1817,476,127,0,6,0,225,22,2,0,1926,0,0,0,0,205,0,0,0,0,0,11,0,0,0,373,0,0,33,0,0,0,1,0,0,130,0,0,0,1223,2,0,34,0,0,1897,0,0,0,0,28,0,18,0,7,0,0,0,7,0,0,0,2586,0,0,0,1,0,612,216,23,0,0,0,0,118,0,0,5,0,0,0,0,0,0,0,0,2,0,0,0,297,2,0,0,0,0,0,0,16,0,13,0,0,0,0,0,6,0,0,19,142,1362,64,6,0,0,6,311,0,0,0,5,33,0,624
"gene_762",0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,1,0,0,0,362,8513,0,0,0,2,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1155,0,0,0,0,745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,91,416,0,0,0,0,0,0,0,0,0,0,0,0,1565,0,0,1862,0,0,0,0,0,0,133,1630,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,7,0,2,1206,0,0,0,0,0,0,0,55,2,21,0,0,0,0,0,32,2358,0,0,0,2537,0,0,0,0,150,0,0,0,0,404,614,0,0,273,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,144,0,0,0,0,0,0,4014,0,0,0,1,203,10,0,3607,135,21,0,2,0,0,72,0,304,0,0,145,0,4659,0,662,0,0,1301,134,0,8,283,0,0,1,0,45,1,0,14,25,30,212,0,0,1,0,386,0,0,243,0,4,1,84,350,0,0,0,113,0,0,0,92,2,47,0,565,0,2570,0,20,1,2,4,4299,240,0,0,0,0,0,14238,0,0,10,0,0,0,0,0,0,0,32,0,345,0,0,92,1802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1431,10,0,0,0,0,0,0,0,0,0,0,228,0,0,0,0,0,1,0,0,1540,0,0,0,0,0,0,0,0,0,1,0,0,222,2,0,0,438,0,0,0,0,0,235,10,0,0,0,0,2080,0,0,0,88,0,0,0,0,0,0,0,0
"gene_763",0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,1175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1626,0,0,0,97,0,0,0,0,41,0,0,90,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,976,0,0,0,0,0,6,0,0,0,0,0,670,5,0,0,2295,0,0,0,81,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195,0,0,0,6,0,0,0,0,0,0,0,0,40,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gene_764",0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,5,261,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1347,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,1,0,0,0,0,0,25,0,26,0,0,0,4,0,0,5,0,0,0,0,0,2,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,274,0,0,0,0,0,0,1,0,0,0,0,0,352,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1923,1133,0,0,0,0,0,0,0,0,0,0
"gene_765",351,0,0,0,0,0,5,0,0,0,0,0,0,0,23,0,0,0,47,0,129,0,65,0,0,0,0,0,0,202,0,0,44,0,0,0,0,1,0,0,0,0,0,48,0,1,3,178,0,0,6377,1,0,0,252,0,0,0,12,0,0,0,0,0,0,0,0,0,3,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1155,274,0,53,78,0,0,1,52,0,0,300,6596,0,0,91,0,5,92,0,0,0,0,0,0,0,0,0,0,4,0,0,54,157,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2272,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,155,0,287,0,0,0,0,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,18,0,0,0,69,1,0,6,1,67,2,0,0,0,0,36,0,10,0,0,2,314,0,32,0,0,53,0,0,0,32,0,34,0,0,0,0,0,0,0,0,0,1,3,0,0,1,1,2,31,944,1,0,18,0,30,1,0,0,7,2,124,1001,629,0,0,0,0,647,0,11,0,40,0,0,356,196,10,0,0,0,1343,15,0,0,0,0,0,15,0,9,1,37,0,0,541,6,0,114,0,0,0,0,38,0,0,15,288,0,67,0,12134,0,0,86,0,0,26,43,0,0,0,0,2,0,1,252,0,18,285,24,27,7,0,2,381,0,210,0,24,7,215,3,102,0,0,0,2,0,103,0,31,0,47,0,0,17,39,0,0
"gene_766",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,16,0,0,0,0,0,0,672,0,0,0,0,0,0,550,0,11,0,0,2,2082,0,0,3645,0,976,359,1062,0,81,0,13,0,586,15,0,0,5,0,0,174,258,0,6,0,0,0,2037,0,725,37,130,0,16204,3,8,1,0,3,190,543,0,995,187,0,0,0,0,12,0,0,0,0,0,0,0,0,0,50,1131,1,139,0,0,1794,454,16,4,9,161,0,1,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,30,0,1,0,0,0,0,0,0,0,0,0,0,25,0,0,1622,0,0,0,0,925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,134,0,0,0,0,0,0,0,0,0
"gene_767",0,0,0,0,0,0,0,0,6,0,0,0,0,0,1023,0,0,0,0,0,0,0,0,0,0,0,0,601,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,5,1,2,2,0,0,0,2,0,0,2,0,0,0,0,2,5,0,0,15,5,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,6,0,14,2,0,0,0,0,7,0,0,0,2,0,0,199,0,0,0,0,0,146,0,0,0,0,0,0,0,4117,0,0,0,0,2820,0,0,328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,291,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,3954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222,0,0,0,107,0,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gene_768",2,2,0,61,0,0,1497,5,0,0,222,0,0,0,5,14,0,722,20,107,315,4,0,46,2,0,0,0,1,289,398,89,4,661,8,0,0,10,0,0,87,3,1199,7512,1,5672,0,0,0,2,0,45,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,409,9,0,256,0,0,0,0,490,0,0,0,0,0,0,0,0,1683,0,0,0,0,0,215,0,0,0,0,0,0,0,0,1398,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,48,0,24,3,0,0,0,118,9,343,408,0,22,2738,0,0,21,0,706,0,1,32,0,0,18,0,4,133,0,0,0,0,0,0,15,13810,0,0,0,4,1326,0,0,1,666,208,0,21,0,0,3,257,1,0,49,0,0,0,0,0,0,0,907,0,0,0,3358,0,0,396,14,0,0,0,3,1016,1567,0,5,118,0,0,0,0,0,0,0,0,0,0,0,209,0,0,0,0,0,27,0,0,0,0,0,0,0,32,916,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2573,0,0,0,0,0,0,0,142,0,0,0,0,0,0,6,0,0,0,0,16,0,0,3285,0,0,0,0,0,0,0,0,130,0,0,0,0,0,0,0,0,10,0,0,1842,0,0,0,99,0,0,0,71,0,164,0,0,0,0,0,32,0,0,0,1,0,0,0,0,37,0,0,0,0,0,0,55,0,0,0,0,1383,0,0,0,0,650,0,0,0,0,8,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,2137,0,0
